observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population inflow deficit
18079.498770000002 38614.19396 1660.1643900000001 233.6 50173.85712 52293.66357375604 3689.2561983471073  2370.937347896845  2370.937347896845 242.8077725231925  4.8024508395418715E8  3.112703131363308E7  63826.0  170397.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
65841.45637000001 83472.35148000001 1721.6519600000001 245.3 132955.96104000002 127516.69873911385 55537.19008264461  2195.7357919978654  2195.7357919978654 251.17750090572278  4.337697532489311E8  3.981427355777265E7  63826.0  170397.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
102733.99837000004 154395.28827 2029.08981 249.5 193316.92008 207375.27913172744 111074.38016528926  2383.9595220974425  2383.9595220974425 256.8996750198928  4.812952678490781E8  3.2885515801873E7  64026.0  170909.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
88750.53487 152866.03290000002 1904.1312 248.1 140786.70059999998 216976.66567685085 128925.61983471068  2259.6942201660813  2259.6942201660813 257.50118854632274  4.667663482236694E8  2.0612457567842755E7  64227.0  171410.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
90656.64954000001 88234.66295 2029.08981 248.3 92169.86743000001 123450.42671698869 182479.3388429752  3216.7675468869734  3216.7675468869734 250.84014013757655  4.833423216501486E8  2.1046142910572085E8  64427.0  171904.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
75780.62454 33857.8329 2261.1558 246.6 21242.9637 123709.8746341175 17851.239669421488  3132.276113449717  3132.276113449717 250.86249092299428  4.688619454128232E8  2.0671839548407757E8  64627.0  172464.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
74181.94772000001 3689.2542 2275.04009 246.4 4365.61747 119547.79531836075 6148.760330578512  2378.9364551782414  2378.9364551782414 250.5039382596796  4.855474503807557E8  2.7549940510395948E7  64828.0  172979.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
71783.93249 3689.2542 2336.5276599999997 246.1 3627.76663 113602.66303508154 6148.760330578512  3424.1385827006857  3424.1385827006857 249.99178006849428  4.866567706478118E8  2.5187349526543123E8  65028.0  173519.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
63631.87079 3867.7665000000006 2201.6517 245.0 -2082.6435 98218.15622364455 5950.413223140496  7351.4500882964885  7351.4500882964885 248.53924289061456  4.719802353133454E8  1.1136064041949282E9  65228.0  174035.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
63631.87079 3935.2044800000003 2090.5773799999997 244.91 6025.78186 98133.7506029164 3689.2561983471073  2420.931282381027  2420.931282381027 248.5308825874521  4.8872638349842936E8  3.342859958773493E7  65429.0  174528.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
77555.83019000001 3570.246 2201.6517 246.75 19695.8571 111279.19269372475 3966.9421487603304  2583.472860431309  2583.472860431309 249.77703344989595  4.740106730097926E8  8.320184993922938E7  65629.0  175058.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
121027.54218000002 62471.371119999996 2090.5773799999997 251.06 108033.66049000001 155510.85550064576 61487.603305785095  2314.3943772941734  2314.3943772941734 253.33873661338635  4.9079083436799043E8  8385893.912565498  65829.0  175537.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
113341.59593 121130.5129 2398.0152300000004 250.3 115842.58188 183357.97510705233 85289.25619834714  2706.206075246474  2706.206075246474 255.31264238013915  4.91809265329666E8  9.18747895347476E7  66030.0  176031.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
154661.24297 98522.92184 2221.4864000000002 253.75 142064.05528 216170.84383349633 107107.4380165289  2143.748537027304  2143.748537027304 257.4510065907022  4.451846786856242E8  1.718655392168086E7  66230.0  176552.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
142240.75383 205368.48380000002 2398.0152300000004 252.84 195346.00989000002 226597.02030966533 182479.33884297524  2440.4945708561645  2440.4945708561645 258.0961508217253  4.940046734922346E8  3.2369788535001356E7  66430.0  177100.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
109513.49882999997 148284.2172 2320.6599 250.2 117877.6221 215094.90737393068 126942.14876033053  2437.5862754043587  2437.5862754043587 257.3840034483703  4.7909404306749177E8  4.665314755603856E7  66631.0  177617.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
142655.29906 30743.785 2459.5028 252.87 66345.08803 125112.33351843269 152727.27272727274  3600.389158225304  3600.389158225304 250.9833092279835  4.961070069703357E8  2.8043760365022403E8  66831.0  178124.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
108916.47435999998 44390.058600000004 2499.1722 250.15 13150.4061 122415.05075806411 11900.826446280991  3946.8624140875827  3946.8624140875827 250.7509451032102  4.811194599953515E8  3.701537223826032E8  67031.0  178637.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
133450.01479 34801.96462 2520.99037 252.17 61856.49542000001 126285.57757974099 53553.71900826446  4432.249590058689  4432.249590058689 251.0782889499348  4.982301741330408E8  4.5773302340702945E8  67232.0  179158.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
101845.40380999997 55031.37515 2643.96551 249.5 26070.729680000004 126026.61855946333 23801.652892561982  2528.0358077157066  2528.0358077157066 251.05742030457438  4.99279523094856E8  4.597614113123323E7  67432.0  179669.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
85124.75170999997 15590.0742 2618.1804 247.8 1487.6025 118701.88066388798 5950.413223140496  2861.927172434858  2861.927172434858 250.43106484010062  4.8422843167587644E8  1.3304209772381419E8  67632.0  180199.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
76455.00433999997 10514.37447 2828.4282200000002 246.8 4673.0553199999995 110795.42237137315 9917.355371900827  2662.158240613981  2662.158240613981 249.73229375486665  5.014315888489665E8  7.275207394985755E7  67833.0  180717.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
68600.46313999998 8509.0863 2499.1722 245.81 3153.7173000000003 107086.88714211983 3570.2479338842977  3292.0045953690337  3292.0045953690337 249.38932369759732  4.862915397690514E8  2.237396025125997E8  68033.0  181238.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
83541.94264999998 3566.2790600000003 2336.5276599999997 247.63 20844.28623 111597.97258208964 13884.297520661159  2448.9032693689887  2448.9032693689887 249.80651461963282  5.0352810424170905E8  2.4659975487211466E7  68234.0  181740.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
109981.59774999997 34924.93976 2520.99037 250.25 63885.585230000004 111544.81691916351 61487.603305785095  2451.137587141197  2451.137587141197 249.8015987162826  5.046180967101634E8  2.4051888543456867E7  68434.0  182270.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
105483.08778999998 140842.23776 2332.56072 249.85 138676.28852 178383.8452001202 69421.48760330575  2415.772635737671  2415.772635737671 254.97481938898753  4.5671424947420627E8  6.4328098540504575E7  68634.0  182772.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
106774.32675999998 19860.485109999998 2582.47794 249.97 23734.20202 138264.06131264355 61487.603305785095  2366.3826016918483  2366.3826016918483 252.0406211990138  5.066759398174578E8  3713791.7518353346  68835.0  183275.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
102133.00695999998 7021.4838 2796.6927 249.54 5176.8567 111354.3099837812 29752.066115702488  2334.5419131598933  2334.5419131598933 249.78398039247028  4.913626755763289E8  1.2159544178798031E7  69035.0  183794.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
105699.28602 9100.16036 2582.47794 249.87 15248.917360000001 117635.16767094955 6148.760330578512  2819.299342253137  2819.299342253137 250.3391701990825  5.0880830758952916E8  9.926810130493757E7  69235.0  184314.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
82730.70342 19695.8571 3034.7091 247.55 -238.0164 109130.07853814897 5950.413223140496  2316.6595096600877  2316.6595096600877 249.5782806379496  4.933591387188872E8  6306141.285554964  69436.0  184799.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
74245.41876 12051.56372 2766.94065 246.55 6333.21971 106669.62748454136 6148.760330578512  2644.910433029094  2644.910433029094 249.35073499348388  5.108328160132896E8  5.963077891565964E7  69636.0  185302.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
95520.11798 10760.32475 2766.94065 248.93 34801.96462 127032.94405345699 11900.826446280991  2537.821604803397  2537.821604803397 251.13851672604213  5.118765091789457E8  3.548979021842248E7  69836.0  185811.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
