observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow totalWaterSupply waterSupply elevation totalIndoor totalOutdoor numOfHouseholds population shiftFactor inflow deficit reliability resilience sumDeficit nonzerodeficit maxDeficit averageDemand sustainabilityindex
164587.71116630532 0.0 0.0 0.0 39273.621166305325 107949.0848878702 51570.24793388428 5068.378344550943 5068.378344550943 249.4690608423074 9.334014900387751E8 1.597641970804697E8 124159.0 331129.0 1.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
199893.43907399307 0.0 0.0 0.0 35305.727907687746 108539.29702368178 29752.066115702488 4963.449656173712 4963.449656173712 249.5236444116972 8.430723135831457E8 2.2746198457394108E8 124159.0 331129.0 0.9995 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
225638.69930720975 0.0 0.0 0.0 25745.260233216693 109919.37478447965 19834.710743801657 4530.471728617133 4530.471728617133 249.65127575922313 9.359501014411238E8 4.1197992784677185E7 124666.0 332372.0 0.999 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
233179.2285377137 0.0 0.0 0.0 7540.529230503933 108533.74363441631 3966.9421487603304 4959.218231806923 4959.218231806923 249.523130827191 9.083412628747078E8 1.6128038677406955E8 125174.0 333677.0 0.9985 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
237104.13120257805 0.0 0.0 0.0 3924.902664864346 99574.58387305368 6148.760330578512 6735.302095648466 6735.302095648466 248.67359586698234 9.413548418322947E8 5.1133882916455156E8 125681.0 335008.0 0.998 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
238890.30903571847 0.0 0.0 0.0 1786.1778331404103 89997.96998163711 5950.413223140496 5412.378501416477 5412.378501416477 247.7024860255414 9.135888968590074E8 2.5377195531822643E8 126189.0 336318.0 0.9975 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
247050.38320358787 0.0 0.0 0.0 8160.074167869413 87045.3680350948 6148.760330578512 4963.91578383322 4963.91578383322 247.3851384388537 9.467059912215042E8 1.2392884299050663E8 126696.0 337613.0 0.997 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
253588.04096302373 0.0 0.0 0.0 6537.657759435848 81906.72198117382 6148.760330578512 5527.543482778321 5527.543482778321 246.81798752866413 9.493145327921282E8 2.428855080617967E8 127204.0 338886.0 0.9965 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
256003.95587732855 0.0 0.0 0.0 2415.914914304834 73666.47436615126 5950.413223140496 4705.749306186891 4705.749306186891 245.83625391761373 9.212732598862156E8 9.367931942109847E7 127711.0 340187.0 0.996 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
270068.7503406892 0.0 0.0 0.0 14064.79446336063 78438.40235504168 3689.2561983471073 5603.610276123108 5603.610276123108 246.40999792436673 9.545779589736218E8 2.5402843570010573E8 128219.0 341457.0 0.9955 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
280145.4006495566 0.0 0.0 0.0 10076.650308867413 80050.80425703849 3570.2479338842977 4894.0004729863 4894.0004729863 246.59966995142202 9.263957751715469E8 1.2915947862403181E8 128726.0 342770.0 0.995 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
378872.48979983013 0.0 0.0 0.0 98727.08915027352 111920.4492261659 61487.603305785095 5369.840875361168 5369.840875361168 249.83633767004216 9.600653984713401E8 1.9812078874313676E8 129234.0 344129.0 0.9945 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
394154.4170578345 0.0 0.0 0.0 15281.92725800439 108096.24525506211 13884.297520661159 5221.833708446999 5221.833708446999 249.48267042033314 9.628573009173348E8 1.6340617940480533E8 129741.0 345492.0 0.994 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
495797.93091435474 0.0 0.0 0.0 101643.5138565202 149810.9342510162 55537.19008264461 4391.634777921745 4391.634777921745 252.91951242586512 8.720794391601373E8 7.512381269379699E7 130249.0 346790.0 0.9935 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
538747.3786060032 0.0 0.0 0.0 42949.4476916485 125356.31216022502 61487.603305785095 5916.466476654884 5916.466476654884 251.00340254333346 9.680795239573103E8 3.0800479761492455E8 130756.0 348039.0 0.993 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
630915.0644463331 0.0 0.0 0.0 92167.68584032987 153266.08143525608 59504.13223140493 4753.784333894159 4753.784333894159 253.17475282601038 9.394094178368543E8 8.590352537811667E7 131264.0 349328.0 0.9925 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
636926.756225358 0.0 0.0 0.0 6011.691779024954 123501.04465368282 29752.066115702477 6024.662444895749 6024.662444895749 250.844500745493 9.733567446098366E8 3.260636643504677E8 131771.0 350614.0 0.992 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
691797.9524701284 0.0 0.0 0.0 54871.196244770435 125857.88647019606 47603.305785123965 4911.048643133244 4911.048643133244 251.04382274721542 9.444496470720491E8 1.1478261608746098E8 132279.0 351870.0 0.9915 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
691757.6047043997 0.0 0.0 0.0 -40.34776572876117 112410.68527920231 6148.760330578512 7258.093094686475 7258.093094686475 249.8816753240731 9.785670190669248E8 5.868840553509778E8 132786.0 353159.0 0.991 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
698020.5881223112 0.0 0.0 0.0 6262.983417911497 107302.54996611257 6148.760330578512 5222.358400422725 5222.358400422725 249.40926847000023 9.812726013625016E8 1.451040463719144E8 133294.0 354482.0 0.9905 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
698180.878738613 0.0 0.0 0.0 160.29061630178614 96782.01250319698 5950.413223140496 4730.414856076888 4730.414856076888 248.39699410689352 9.520793386992263E8 6.819319325506966E7 133801.0 355723.0 0.99 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
702924.6923240919 0.0 0.0 0.0 4743.813585478917 92800.32655643126 3689.2561983471073 5036.243333897526 5036.243333897526 248.00261158443257 9.865015018002914E8 9.973319307467018E7 134309.0 357028.0 0.9895 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
768360.423659526 0.0 0.0 0.0 65435.73133543417 109522.67052342501 43636.36363636363 5077.023732076884 5077.023732076884 249.61458804433784 9.572405071412185E8 1.377898475992572E8 134816.0 358317.0 0.989 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
924713.8509538225 0.0 0.0 0.0 156353.42729429647 177299.12395787824 83305.78512396695 5271.188735876398 5271.188735876398 254.89828504606493 9.917911556038344E8 1.4511739081092727E8 135324.0 359604.0 0.9885 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1069706.7100910323 0.0 0.0 0.0 144992.8591372099 206424.81134375717 111074.38016528926 4792.791586041997 4792.791586041997 256.8380323849638 9.943839891961153E8 3.9342175506871894E7 135831.0 360866.0 0.988 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1251125.2973017357 0.0 0.0 0.0 181418.58721070347 224215.47278099717 158677.68595041317 4950.2398230505205 4950.2398230505205 257.9519798717771 9.005404288812257E8 1.6714472595551372E8 136339.0 362152.0 0.9875 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1304533.1586138646 0.0 0.0 0.0 53407.86131212891 182846.54772640963 89256.1983471075 5520.588019609133 5520.588019609133 255.2779693373837 9.997713466498532E8 1.9092851541684535E8 136846.0 363495.0 0.987 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1310477.325912972 0.0 0.0 0.0 5944.167299107385 123497.44413952708 59504.13223140493 5789.138654585257 5789.138654585257 250.84419057025562 9.700356616064484E8 2.785861469784673E8 137354.0 364762.0 0.9865 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1330977.588402436 0.0 0.0 0.0 20500.26248946418 120348.17572217126 17851.239669421488 5798.291237398519 5798.291237398519 250.5728890181057 1.0050470242216843E9 2.455488456515044E8 137861.0 366068.0 0.986 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1383490.256732729 0.0 0.0 0.0 52512.66833029282 126115.66367180561 41652.89256198347 5092.2878186750095 5092.2878186750095 251.0645961537437 9.751523308065883E8 1.231702358758593E8 138369.0 367342.0 0.9855 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1380570.868431412 0.0 0.0 0.0 -2919.3883013170816 111586.56351305572 6148.760330578512 5460.951526854289 5460.951526854289 249.80545949441003 1.0102132018469877E9 1.6762405148245233E8 138876.0 368593.0 0.985 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1417299.4107916672 0.0 0.0 0.0 36728.54236025526 125524.24687518438 17851.239669421488 4939.619328705132 4939.619328705132 251.01693584295145 1.0128253311220886E9 5.256915810121622E7 139384.0 369864.0 0.9845 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1416342.536757936 0.0 0.0 0.0 -956.8740337311427 113412.68603623996 5950.413223140496 5204.273582072779 5204.273582072779 249.97434162917227 9.8265175483969E8 1.398242955942833E8 139891.0 371120.0 0.984 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1433360.187750926 0.0 0.0 0.0 17017.65099299009 109413.22463690005 15867.768595041325 5149.343797288649 5149.343797288649 249.6044663494775 1.0180604502857401E9 9.256815075979769E7 140399.0 372412.0 0.9835 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1444040.6420222567 0.0 0.0 0.0 10680.454271330713 108775.83543250672 5950.413223140496 5367.4302525835365 5367.4302525835365 249.54551978475047 9.878240666171615E8 1.6984218898815486E8 140906.0 373725.0 0.983 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1481166.9234470339 0.0 0.0 0.0 37126.28142477723 109092.92509257195 31735.537190082654 5073.654574629382 5073.654574629382 249.57484464002331 1.0235391182631398E9 7.076456473938584E7 141414.0 375084.0 0.9825 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1612864.6215377068 0.0 0.0 0.0 131697.69809067302 166533.87251526696 69421.48760330575 4835.263064672443 4835.263064672443 254.13872451247207 1.0262771065069963E9 1.6609456249968544E7 141921.0 376414.0 0.982 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1738288.97883943 0.0 0.0 0.0 125424.35730172328 197779.00439517683 89256.19834710751 4923.027074706173 4923.027074706173 256.27730815196685 9.292825314637419E8 1.325332819938512E8 142429.0 377665.0 0.9815 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1740214.9194720136 0.0 0.0 0.0 1925.940632583673 131928.01819173183 61487.603305785095 6289.323530243847 6289.323530243847 251.53299445497072 1.0315857827825485E9 3.249176609371461E8 142936.0 378999.0 0.981 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1749177.126750699 0.0 0.0 0.0 8962.207278685486 106998.578837677 27768.59504132232 6123.051591417995 6123.051591417995 249.38115683322638 1.0008621928139101E9 3.197791336961717E8 143443.0 380283.0 0.9805 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1867877.237269914 0.0 0.0 0.0 118700.11051921496 123696.69483524193 97190.08264462808 4811.911877021964 4811.911877021964 250.86135551647502 1.0367943946445209E9 1055701.7416841374 143951.0 381538.0 0.98 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1896042.3164326614 0.0 0.0 0.0 28165.07916274728 123160.1381470861 23801.652892561982 4899.982958341116 4899.982958341116 250.81513250750226 1.005978375428218E9 5.086720187243301E7 144458.0 382865.0 0.9795 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1897638.614261392 0.0 0.0 0.0 1596.2978287306396 113717.35165968952 6148.760330578512 4890.32398554871 4890.32398554871 250.00166020500427 1.0420947214330328E9 1.266757460673724E7 144966.0 384125.0 0.979 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1896904.2990195735 0.0 0.0 0.0 -734.315241818485 101031.11398320977 6148.760330578512 5803.162104082748 5803.162104082748 248.81786390483455 1.0447511425981663E9 2.0689529295237204E8 145473.0 385421.0 0.9785 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1905381.1153274747 0.0 0.0 0.0 8476.816307901172 97979.21778471895 5950.413223140496 5578.299283251503 5578.299283251503 248.51557624650545 1.0135721659113772E9 1.895750646983641E8 145981.0 386690.0 0.978 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1912830.0132636707 0.0 0.0 0.0 7448.897936196023 95820.02633594161 3689.2561983471073 5918.833186626243 5918.833186626243 248.30171021552513 1.0499898517582073E9 2.266049301521706E8 146488.0 387973.0 0.9775 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1916127.633818053 0.0 0.0 0.0 3297.6205543821525 87783.40471041565 3570.2479338842977 7763.994246023819 7763.994246023819 247.46446310301116 1.0188375791713667E9 6.557280368447055E8 146996.0 389340.0 0.977 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1939471.2896146623 0.0 0.0 0.0 23343.655796609404 101841.71079520033 3689.2561983471073 5596.093513477613 5596.093513477613 248.89815281251984 1.0554693302165943E9 1.5151582262366703E8 147503.0 390642.0 0.9765 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2147632.4604497077 0.0 0.0 0.0 208161.17083504546 199191.35144642496 105123.96694214879 5687.563241672292 5687.563241672292 256.3689059891319 1.0581660478514107E9 1.685476180293303E8 148011.0 391957.0 0.976 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2173643.34100903 0.0 0.0 0.0 26010.880559322224 162306.31034004458 57520.66115702477 5375.260508678057 5375.260508678057 253.8351537979432 9.581664172702293E8 2.0118869554144406E8 148518.0 393254.0 0.9755 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2230766.0825199164 0.0 0.0 0.0 57122.74151088637 152404.2422011933 61487.603305785095 5537.206343952864 5537.206343952864 253.11179430208148 1.0635247915894636E9 1.3075936918378784E8 149026.0 394570.0 0.975 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2243882.996094711 0.0 0.0 0.0 13116.913574794955 107637.25185215505 51570.24793388428 6313.655989949025 6313.655989949025 249.44022212634374 1.0318368462744843E9 3.299147080289688E8 149533.0 395886.0 0.9745 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2244050.6161916377 0.0 0.0 0.0 167.62009692677833 90012.13438214315 6148.760330578512 11643.977236360168 11643.977236360168 247.70400842456397 1.0688891580845624E9 1.442524850716249E9 150041.0 397184.0 0.974 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2262100.19188811 0.0 0.0 0.0 18049.575696472035 96748.14375829107 5950.413223140496 5363.153097183618 5363.153097183618 248.39363943723168 1.0370056337252544E9 1.197381099437289E8 150548.0 398493.0 0.9735 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2270771.635811885 0.0 0.0 0.0 8671.443923775221 93897.94065309443 6148.760330578512 5372.8866983933485 5372.8866983933485 248.11132930399114 1.0742200451135595E9 8.46230759377496E7 151056.0 399785.0 0.973 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2275830.3978579333 0.0 0.0 0.0 5058.762046048614 86825.16461475076 6148.760330578512 5982.77775381376 5982.77775381376 247.36147083133608 1.0768823872971437E9 2.1350418401353097E8 151563.0 401081.0 0.9725 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2285009.2521474953 0.0 0.0 0.0 9178.854289561765 84966.28720032443 5950.413223140496 5087.3184808475935 5087.3184808475935 247.1616774720899 1.0447223736254433E9 5.252838877791458E7 152071.0 402377.0 0.972 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2285074.034664964 0.0 0.0 0.0 64.78251746838522 75818.0456533572 3689.2561983471073 5523.767866088493 5523.767866088493 246.10175692899156 1.0821217527123508E9 1.0926394984051244E8 152578.0 403633.0 0.9715 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2327746.0695903585 0.0 0.0 0.0 42672.034925394786 107777.16760254488 3966.9421487603304 6745.970827446756 6745.970827446756 249.4531617129885 1.0498060193716981E9 4.0518872126227456E8 153086.0 404940.0 0.971 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2441657.4087988925 0.0 0.0 0.0 113911.33920853405 154734.14976854398 61487.603305785095 5466.753736750124 5466.753736750124 253.28199720714034 1.0874714495576344E9 9.161724483324431E7 153593.0 406245.0 0.9705 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2585159.2574980524 0.0 0.0 0.0 143501.84869916012 193377.27331059866 99173.55371900833 5685.171438097389 5685.171438097389 255.9918336669433 1.090081951177598E9 1.361158420878971E8 154101.0 407521.0 0.97 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2645888.712674372 0.0 0.0 0.0 60729.455176319556 177830.10158752874 71404.95867768592 4871.668221703656 4871.668221703656 254.93574907129957 9.86923082227777E8 6.3815472979705594E7 154608.0 408777.0 0.9695 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2794883.1029512705 0.0 0.0 0.0 148994.39027689883 208136.3565634648 113057.85123966941 5630.284061293633 5630.284061293633 256.9490347339947 1.0953367589054933E9 1.1902273167210403E8 155116.0 410081.0 0.969 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2807963.8259121594 0.0 0.0 0.0 13080.722960889037 154851.20367658473 59504.13223140493 6861.7436163644625 6861.7436163644625 253.29054815374275 1.0625929360940785E9 4.17372087291005E8 155623.0 411386.0 0.9685 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2811936.954352185 0.0 0.0 0.0 3973.128440025764 117193.35598212498 29752.066115702477 11878.910018783032 11878.910018783032 250.30110923347047 1.10065803043855E9 1.461427108071311E9 156131.0 412675.0 0.968 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2817253.979740872 0.0 0.0 0.0 5317.025388686734 110268.99642809785 5950.413223140496 6290.971719573364 6290.971719573364 249.68360921373326 1.0676270084396627E9 2.8923192255663604E8 156638.0 413923.0 0.9675 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2825925.050611257 0.0 0.0 0.0 8671.070870384963 107598.10512416935 6148.760330578512 5193.201843734943 5193.201843734943 249.43660178712378 1.105897671478644E9 1.4190387449195059E7 157146.0 415233.0 0.967 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2826818.066773019 0.0 0.0 0.0 893.0161617619276 97095.11486047275 6148.760330578512 5247.246094880008 5247.246094880008 248.42800662247154 1.1085447102168374E9 2.3199803088115506E7 157653.0 416523.0 0.9665 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2829155.657214581 0.0 0.0 0.0 2337.590441562114 87695.27816820837 5950.413223140496 5787.0139106860015 5787.0139106860015 247.45499120466556 1.0753971385158885E9 1.727663978226184E8 158161.0 417837.0 0.966 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2829208.6030623782 0.0 0.0 0.0 52.945847797352926 78577.065147407 3689.2561983471073 5481.9026702516185 5481.9026702516185 246.42630927507435 1.1138936701447592E9 6.846239956080902E7 158668.0 419126.0 0.9655 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
2979229.3376028165 0.0 0.0 0.0 150020.7345404381 160265.6631877787 61487.603305785095 6844.533194281558 6844.533194281558 253.68608175818386 1.080471107671717E9 3.957819112805905E8 159176.0 420391.0 0.965 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
3017971.22612383 0.0 0.0 0.0 38741.888521013454 132073.5202980452 61487.603305785095 5446.4281049621495 5446.4281049621495 251.54471998533685 1.1190969548031454E9 5.56078357566228E7 159683.0 421660.0 0.9645 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
3073495.370221392 0.0 0.0 0.0 55524.144097561846 120468.86068478768 61487.603305785095 5641.200405034489 5641.200405034489 250.58328572405134 1.1217730961224542E9 9.49408699107834E7 160191.0 422965.0 0.964 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
3113464.167155683 0.0 0.0 0.0 39968.79693429111 108781.90334051735 45619.834710743795 6035.919567817731 6035.919567817731 249.54608095260497 1.015587948572718E9 2.862604362945403E8 160698.0 424243.0 0.9635 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
