index,dates,shiftFactor,population,storage,storage_perc,storage_ts,storage_trend,storage_stl,storage_fac,storage_segment,inflow_ts,inflow_trend,inflow_stl,inflow_fac,inflow_segment,outflow_ts,outflow_trend,outflow_stl,outflow_fac,outflow_segment,supply_ts,supply_trend,supply_stl,supply_fac,supply_segment,elevation_ts,elevation_trend,elevation_stl,elevation_fac,elevation_segment
1,1,1,3.311,109292.826880833,50.8840597351834,50.8840597351834,NA,146.624225376364,segment1,66.3518236947608,6286.45076103399,NA,79187.2283657957,segment1,36024.1040131048,17851.2396694215,NA,67454.0407477525,segment1,30154.3272370377,4456.47421077994,NA,4297.3104443001,segment1,6085.70862594091,-1.90666818821484,NA,1.02738069374305,segment1,-1.70538395905004
2,2,1,3.311,214482.84351924,284.639652264979,284.639652264979,NA,140.008747506829,segment1,66.3518236947603,228141.316779019,NA,77039.99303906,segment1,36024.1040131046,119008.26446281,NA,66723.3391767951,segment1,30154.3272370375,3943.035677802,NA,4347.80669336125,segment1,6085.70862594098,5.84588762730357,NA,0.870717185278912,segment1,-1.70538395905003
3,3,1,3.32439,186945.881469019,223.446403264487,223.446403264487,NA,133.393269637293,segment1,66.3518236947603,68221.4409275816,NA,74892.7577123243,segment1,36024.1040131046,91239.6694214877,NA,65992.6376058377,segment1,30154.3272370375,4518.73355631516,NA,4398.3029424224,segment1,6085.70862594098,4.05589026908606,NA,0.714053676814774,segment1,-1.70538395905003
4,4,1,3.33745,178818.463779817,205.38547506626,205.38547506626,NA,126.672191413677,segment1,66.3518236947603,75456.9257627719,NA,72463.5636097365,segment1,36024.1040131046,79338.8429752066,NA,64840.5960034409,segment1,30154.3272370375,4245.50047676787,NA,4458.31684105092,segment1,6085.70862594098,3.50487890032659,NA,0.54255809144794,segment1,-1.70538395905003
5,5,1,3.35052,126796.242125968,89.7805380577066,89.7805380577066,NA,119.951113190062,segment1,66.3518236947603,65512.9166158084,NA,70034.3695071486,segment1,36024.1040131046,113057.851239669,NA,63688.554401044,segment1,30154.3272370375,4477.28702998792,NA,4518.33073967944,segment1,6085.70862594098,-0.380558294305075,NA,0.371062506081106,segment1,-1.70538395905003
6,6,1,3.36376,119259.463287039,73.0321406378644,73.0321406378644,NA,112.9372693065,segment1,66.3518236947603,3682.9404733364,NA,67224.8349223081,segment1,36024.1040131046,5950.4132231405,NA,62221.9202895924,segment1,30154.3272370375,5269.30608912488,NA,4580.98020475055,segment1,6085.70862594098,-1.02090081951764,NA,0.178236937211456,segment1,-1.70538395905003
7,7,1,3.37664,108601.85576463,49.3485683658441,49.3485683658441,113.700774637207,105.923425422939,segment1,66.3518236947603,587.13710629381,69221.963418911,64415.3003374676,segment1,36024.1040131046,6148.76033057851,63818.1818181818,60755.2861781408,segment1,30154.3272370375,5095.98429812446,4634.50854741795,4643.62966982166,segment1,6085.70862594098,-1.97057007633128,0.316818252704826,-0.0145886316581929,segment1,-1.70538395905003
8,8,1,3.38996,122010.361592868,79.1452479841518,79.1452479841518,105.026062864656,97.7406643608588,segment1,66.3518236947603,184504.173854416,63756.0960843214,61044.5848898431,segment1,36024.1040131046,166611.570247934,62991.7355371901,58840.4652423162,segment1,30154.3272370375,4484.09777824402,4667.98084477918,4707.33814196724,segment1,6085.70862594098,-0.783917850373143,0.0373492227527237,-0.253348633431163,segment1,-1.70538395905003
9,9,1,3.40293,124616.455709384,84.9365682430745,84.9365682430745,88.5040322549221,89.5579032987789,segment1,66.3518236947603,48869.6030224968,55390.6520784954,57673.8694422186,segment1,36024.1040131046,41652.8925619835,58115.7024793388,56925.6443064915,segment1,30154.3272370375,4610.61634399811,4709.8633735371,4771.04661411281,segment1,6085.70862594098,-0.559409397882206,-0.517324256759487,-0.492108635204134,segment1,-1.70538395905003
10,10,1,3.4163,109906.076326259,52.2468362805762,52.2468362805762,74.7039290426981,79.2547266082922,segment1,66.3518236947603,26.3285798371495,51890.4935957319,53302.409115373,segment1,36024.1040131046,9917.35537190083,53322.3140495868,52667.0455958975,segment1,30154.3272370375,4819.35259106057,4778.22599164605,4891.68767970816,segment1,6085.70862594098,-1.84995409911591,-0.998421957336115,-0.843840956121787,segment1,-1.70538395905003
