index,dates,shiftFactor,population,storage,storage_perc,storage_ts,storage_trend,storage_stl,storage_fac,storage_segment,inflow_ts,inflow_trend,inflow_stl,inflow_fac,inflow_segment,outflow_ts,outflow_trend,outflow_stl,outflow_fac,outflow_segment,supply_ts,supply_trend,supply_stl,supply_fac,supply_segment,elevation_ts,elevation_trend,elevation_stl,elevation_fac,elevation_segment
1,1,1,3.30961,109845.906005126,52.1131244558348,52.1131244558348,NA,107.432215359451,segment1,64.0388224489252,18661.057837037,NA,50362.5300625256,segment1,36693.8819231975,29752.0661157025,NA,44838.5275068706,segment1,30602.2170305978,4377.17571620887,NA,4798.47871212396,segment1,5789.80143560134,-1.85551872698363,NA,-0.48333180559449,segment1,-1.59296808561404
2,2,0.999166666666667,3.30961,205795.438862291,265.334308582868,265.334308582868,NA,103.615433339476,segment1,64.0388224489247,199943.647503257,NA,48187.7830411438,segment1,36693.8819231974,99173.5537190083,NA,42898.016950374,segment1,30602.2170305977,4820.56092708377,NA,4816.05882731523,segment1,5789.80143560131,5.29721440186074,NA,-0.533003164054594,segment1,-1.59296808561405
3,3,0.998333333333333,3.32202,176780.162771661,200.855917270359,200.855917270359,NA,99.7986513195015,segment1,64.0388224489247,57974.4554360179,NA,46013.036019762,segment1,36693.8819231974,81322.3140495868,NA,40957.5063938773,segment1,30602.2170305977,5667.41747706055,NA,4833.6389425065,segment1,5789.80143560131,3.36166886133225,NA,-0.582674522514697,segment1,-1.59296808561405
4,4,0.9975,3.33473,121376.710813525,77.7371351411667,77.7371351411667,NA,96.4949364337768,segment1,64.0388224489247,9027.74327324518,NA,44455.3754620042,segment1,36693.8819231974,59504.1322314049,NA,39507.2949580101,segment1,30602.2170305977,4927.06299997699,NA,4862.30798572562,segment1,5789.80143560131,-0.83850527106091,NA,-0.629213566330788,segment1,-1.59296808561405
5,5,0.996666666666667,3.34757,124543.171086285,84.7737135250779,84.7737135250779,NA,93.1912215480521,segment1,64.0388224489247,14012.7003441128,NA,42897.7149042464,segment1,36693.8819231974,5950.4132231405,NA,38057.0835221429,segment1,30602.2170305977,4895.82684821223,NA,4890.97702894474,segment1,5789.80143560131,-0.565722683814158,NA,-0.67575261014688,segment1,-1.59296808561405
6,6,0.995833333333333,3.36035,121691.247139006,78.4361047533456,78.4361047533456,NA,90.3255101089889,segment1,64.0388224489247,37592.6061992539,NA,41770.6283561008,segment1,36693.8819231974,35702.479338843,NA,37037.5638132247,segment1,30602.2170305977,4742.05080769041,NA,4918.72180438625,segment1,5789.80143560131,-0.811408757838905,NA,-0.721321835841728,segment1,-1.59296808561405
7,7,0.995,3.37332,119342.886183381,73.2175248519581,73.2175248519581,84.5686793679363,87.4597986699257,segment1,64.0388224489247,8673.70046391971,40082.9445919793,40643.5418079551,segment1,36693.8819231974,6148.76033057851,34522.3140495868,36018.0441043065,segment1,30602.2170305977,4873.30108896562,4961.6360709831,4946.46657982776,segment1,5789.80143560131,-1.01371414684863,-0.783507772383562,-0.766891061536577,segment1,-1.59296808561405
8,8,0.994166666666667,3.38628,105125.709890254,41.6237997561207,41.6237997561207,84.9210490433647,84.5432938379726,segment1,64.0388224489247,-3482.70007279402,40664.004512469,39416.691687248,segment1,36693.8819231974,6148.76033057851,35514.0495867769,34990.6915043601,segment1,30602.2170305977,4585.71588975427,4991.38857174949,4963.85471855633,segment1,5789.80143560131,-2.29204847033625,-0.763662907046151,-0.818727253584703,segment1,-1.59296808561405
9,9,0.993333333333333,3.39861,96881.2628820752,23.3028064046115,23.3028064046115,82.7451950596781,81.6267890060195,segment1,64.0388224489247,3380.31827988288,38527.0735813221,38189.8415665409,segment1,36693.8819231974,5950.4132231405,34522.3140495868,33963.3389044137,segment1,30602.2170305977,5674.35206492156,4983.89382439439,4981.24285728491,segment1,5789.80143560131,-3.09317522958838,-0.831904628748117,-0.87056344563283,segment1,-1.59296808561405
10,10,0.9925,3.41173,87886.0375234575,3.31341671879436,3.31341671879436,80.4628551164941,78.9566200100661,segment1,64.0388224489247,48.520729532625,37812.738262798,37728.6096739181,segment1,36693.8819231974,3689.25619834711,33861.1570247934,33468.8858501697,segment1,30602.2170305977,5354.48988980321,4978.63421243752,5019.24742260592,segment1,5789.80143560131,-4.0245058551744,-0.909473212686161,-0.956145524333849,segment1,-1.59296808561405
