index,dates,shiftFactor,population,storage_asis,inflow_ts,inflow_trend,inflow_stl,inflow_fac,inflow_segment,storage_ts,storage_trend,storage_stl,storage_fac,storage_segment,outflow_ts,outflow_trend,outflow_stl,outflow_fac,outflow_segment,supply_ts,supply_trend,supply_stl,supply_fac,supply_segment,elevation_ts,elevation_trend,elevation_stl,elevation_fac,elevation_segment
1,1,1,3.31676,55.1313379350132,51894.7219013296,NA,43249.4968466792,segment1,32270.111783505,55.1313379350132,NA,54.2320325532211,segment1,56.1909532248916,61487.6033057851,NA,41080.454964455,segment1,26368.4565118959,4517.10652478869,NA,5075.12545137091,segment1,5814.33056911929,-1.72991102647219,NA,-2.10794157259095,segment1,-1.84658374150603
2,2,0.9995,3.31676,142.835917208354,99362.56721278,NA,41924.0308612805,segment1,32270.1117835054,142.835917208354,NA,56.3568129022877,segment1,56.1909532248913,55537.1900826446,NA,39275.491823816,segment1,26368.4565118964,4358.3164571321,NA,5058.56816930136,segment1,5814.33056911932,1.48498879157859,NA,-1.98110422940947,segment1,-1.84658374150602
3,3,0.999,3.32969,146.992216169206,68641.1088402756,NA,40598.5648758817,segment1,32270.1117835054,146.992216169206,NA,58.4815932513543,segment1,56.1909532248913,61487.6033057851,NA,37470.5286831771,segment1,26368.4565118964,5283.17100210748,NA,5042.01088723181,segment1,5814.33056911932,1.62182097130122,NA,-1.85426688622799,segment1,-1.84658374150602
4,4,0.9985,3.34304,47.9120713126855,20047.682196972,NA,39523.6654176397,segment1,32270.1117835054,47.9120713126855,NA,60.5883607054469,segment1,56.1909532248913,59504.1322314049,NA,35900.6580040873,segment1,26368.4565118964,5129.61515100151,NA,5035.60820019014,segment1,5814.33056911932,-2.03035216029701,NA,-1.7389327917856,segment1,-1.84658374150602
5,5,0.998,3.35599,54.5455515965037,16415.9563419603,NA,38448.7659593976,segment1,32270.1117835054,54.5455515965037,NA,62.6951281595395,segment1,56.1909532248913,6148.76033057851,NA,34330.7873249976,segment1,26368.4565118964,7282.12988366366,NA,5029.20551314847,segment1,5814.33056911932,-1.75428944618267,NA,-1.6235986973432,segment1,-1.84658374150602
6,6,0.9975,3.36901,77.8105872538571,74859.5783064232,NA,37746.4596883763,segment1,32270.1117835054,77.8105872538571,NA,64.8649575418879,segment1,56.1909532248913,59504.132231405,NA,33107.0687461664,segment1,26368.4565118964,4886.18002920927,NA,5030.00851933862,segment1,5814.33056911932,-0.835657799428361,NA,-1.51787966243358,segment1,-1.84658374150602
7,7,0.997,3.38178,73.9173308307843,8842.76680104065,32868.0512337602,37044.153417355,segment1,32270.1117835054,73.9173308307843,63.3508537220727,67.0347869242364,segment1,56.1909532248913,6148.76033057851,28671.0743801653,31883.3501673352,segment1,26368.4565118964,4445.97186084489,5020.77946244645,5030.81152552877,segment1,5814.33056911932,-0.986585210729459,-1.47956284408341,-1.41216062752396,segment1,-1.84658374150602
8,8,0.9965,3.39494,42.1823166561552,-3270.88029966756,35328.5257170828,36544.76648701,segment1,32270.1117835054,42.1823166561552,66.8913163401033,69.3192573890756,segment1,56.1909532248913,6148.76033057851,28671.0743801653,30943.7051089782,segment1,26368.4565118964,4861.11574833704,5064.24315880384,5025.12465889736,segment1,5814.33056911932,-2.26880491119306,-1.36980706418262,-1.3072557322986,segment1,-1.84658374150602
9,9,0.996,3.40769,18.3757951182499,-67.3103181903399,38523.0996891179,36045.3795566649,segment1,32270.1117835054,18.3757951182499,72.9416295790865,71.6037278539148,segment1,56.1909532248913,5950.4132231405,30737.1900826446,30004.0600506212,segment1,26368.4565118964,4695.21115072655,5063.26864893082,5019.43779226594,segment1,5814.33056911932,-3.3127825076057,-1.17654382964442,-1.20235083707323,segment1,-1.84658374150602
10,10,0.9955,3.42082,21.2446970261372,9738.6889396796,38096.5822034904,35519.025707289,segment1,32270.1117835054,21.2446970261372,76.2305698119299,73.4316289902179,segment1,56.1909532248913,3689.25619834711,31563.6363636364,29598.4348158843,segment1,26368.4565118964,4758.42688278318,5052.92273507462,5015.14269636596,segment1,5814.33056911932,-3.18490950259888,-1.06209523269508,-1.13575348888625,segment1,-1.84658374150602
