index,dates,observedInflow,storage,outflow,totalWaterSupply,elevation,population,shiftFactor
0,1,36437.48829021554,109253.65931893907,47603.305785123965,4894.613186152603,249.58970954581883,331084.0,1.0
1,2,11192.416642489408,110187.67249724358,5950.413223140496,4307.990241044378,249.6760882731197,331084.0,0.9998333333333334
2,3,33238.21324067768,108633.0718281976,29752.06611570249,5040.747794021191,249.53231682495124,332352.0,0.9996666666666668
3,4,7968.008782622343,110398.49608530957,1983.4710743801647,4219.113451130217,249.69558550682598,333668.0,0.9995
4,5,12579.723101130796,111394.47223184838,6148.760330578512,5434.9866240134415,249.78769464827968,335027.0,0.9993333333333332
5,6,2070.9509997932155,102443.29404440256,5950.413223140496,5071.71596409854,248.9577391089939,336350.0,0.9991666666666666
6,7,298.5977147204585,90016.07660618552,6148.760330578512,6577.05482235898,247.70443213738025,337623.0,0.9990000000000001
7,8,-1351.0425048458,77779.56452708918,6148.760330578512,4736.709243672032,246.33249670945645,338920.0,0.9988333333333334
8,9,213.19958309320182,67060.70174917077,5950.413223140496,4981.649137871119,245.00098550853116,340184.0,0.9986666666666668
9,10,76093.40523344635,108104.46774495005,29752.06611570249,5297.573121964606,249.48343084666146,341467.0,0.9985
10,11,49704.6905427165,108910.86586419804,43636.36363636363,5261.928787104972,249.55800757090518,342773.0,0.9983333333333332
11,12,102397.2679614999,144783.20102831293,61487.603305785095,5037.329491600185,252.5368260791835,344115.0,0.9981666666666666
12,1,21970.98266298857,108502.80003725528,53553.719008264445,4697.664645781892,249.5202691239485,345430.0,0.998
13,2,132520.47473008026,170056.76891733607,65454.54545454541,5511.960395454163,254.3872884299256,346739.0,0.9978333333333332
14,3,98328.602349692,180523.8230381964,83305.78512396695,4555.763104864864,255.12049647716583,348005.0,0.9976666666666668
15,4,19062.894033194167,134448.85291062473,59504.132231404925,5633.731929361158,251.73614013301838,349297.0,0.9975
16,5,-866.4160538518877,123063.18244471865,5950.413223140496,4568.841188913712,250.806780017636,350583.0,0.9973333333333332
17,6,2012.7575625660897,114472.95133483394,5950.413223140496,4652.575449310259,250.06675321630203,351915.0,0.9971666666666666
18,7,26568.9176613809,122314.57649744574,11900.826446280991,6826.46605248813,250.7422894984016,353212.0,0.997
19,8,-1405.2371213737908,109559.69734069252,6148.760330578512,5200.881704800916,249.61801233151687,354534.0,0.9968333333333332
20,9,2485.6772110113634,101663.19866259591,5950.413223140496,4431.762665967489,248.8804713413823,355855.0,0.9966666666666668
21,10,36444.266987695584,109523.96844771113,23801.652892561993,4781.8443100183995,249.6147080780275,357114.0,0.9965
22,11,22964.824319687763,108823.21189061408,17851.23966942149,5814.341207363277,249.5499012198848,358379.0,0.9963333333333332
23,12,173973.37690666685,186864.91754551712,91239.66942148766,4692.001830276377,255.55040118952655,359699.0,0.9961666666666666
24,1,30262.683354689263,150669.61346938682,61487.603305785095,4970.384125034747,252.98487086842647,361043.0,0.996
25,2,172596.91190025792,213129.369088395,105123.96694214876,5013.189339101224,257.26160101434766,362327.0,0.9958333333333332
26,3,18217.700709143028,161240.16501074313,65454.54545454543,4652.359332249727,253.7572704369014,363626.0,0.9956666666666668
27,4,91208.30054249924,172520.74703130143,73388.42975206609,6539.288769874968,254.56113857555218,364912.0,0.9955
28,5,817.6902429679833,120317.60048504092,47603.305785123965,5417.531004104561,250.57025503833918,366207.0,0.9953333333333332
29,6,10815.461532144414,120524.83179198502,5950.413223140496,4657.817002059807,250.5881074941407,367528.0,0.9951666666666666
30,7,40656.95843261017,126367.65621356998,29752.06611570248,5062.06789532274,251.08490339379242,368790.0,0.995
31,8,14400.43874164012,123585.1145925008,11900.826446280991,5282.153916428327,250.8517431592437,370055.0,0.9948333333333332
32,9,19067.711713525736,125707.85681479196,11900.826446280991,5044.1430449535765,251.03173235674046,371302.0,0.9946666666666668
33,10,63.856239955504925,108362.93197183324,11900.826446280991,5507.954636633217,249.50733394727024,372617.0,0.9945
34,11,152898.14135691148,176628.15479534047,79338.84297520661,5294.075558197736,254.85094368131942,373885.0,0.9943333333333332
35,12,41410.86868414245,151419.8983495823,61487.603305785095,5131.521824115805,253.03988664983436,375193.0,0.9941666666666666
36,1,36319.621752233375,120641.36483164072,61487.603305785095,5610.551964390118,250.59814652236741,376445.0,0.9940000000000001
37,2,142569.17006972368,182857.15582068844,75371.90082644628,4981.478254229804,255.27868853021613,377726.0,0.9938333333333332
38,3,73039.46452407728,172606.75025269462,77355.37190082643,5934.498191244805,254.56720667838104,378994.0,0.9936666666666668
39,4,2190.1869552398434,110130.03184350011,59504.132231404925,5162.7731330295865,249.67075759211136,380301.0,0.9935
40,5,6895.772099713915,106007.61478154703,6148.760330578512,4869.428831088465,249.28951121627182,381639.0,0.9933333333333332
41,6,8726.900903055535,103855.9013523568,5950.413223140496,4928.201109105288,249.0905180201939,382932.0,0.9931666666666666
42,7,1198.148716304082,93698.44555261935,6148.760330578512,5206.844185463025,248.09156948817542,384228.0,0.993
43,8,-2840.6717999396283,79752.72919569812,6148.760330578512,4956.284226403097,246.56460642226776,385503.0,0.9928333333333332
44,9,20623.246203071318,89542.14332381758,5950.413223140496,4883.41885181136,247.65349347848428,386827.0,0.9926666666666668
45,10,5494.247538665769,86208.12793383222,3689.256198347107,5139.006730304027,247.29515132564842,388145.0,0.9925
46,11,14815.819335078933,91617.03883343027,3570.2479338842977,5836.660501596581,247.8765046037651,389477.0,0.9923333333333332
47,12,132014.81007199493,156272.4773281597,61487.603305785095,5871.768271480705,253.394374119962,390807.0,0.9921666666666666
48,1,40878.024685320284,130624.26080294178,61487.603305785095,5038.637904753378,251.42792898726262,392139.0,0.992
49,2,21179.35070798612,108994.99228938982,37685.950413223145,5122.668808315007,249.56578768976138,393464.0,0.9918333333333332
50,3,162720.95486454127,180729.56568354703,85289.25619834714,5697.125272037088,255.13444513108792,394773.0,0.9916666666666668
51,4,11308.246682592402,126596.29623914213,59504.132231404925,5937.383895592654,251.10332873230251,396092.0,0.9915
52,5,21097.608265647104,123164.20135280005,17851.239669421488,6678.463482567719,250.81548254245345,397426.0,0.9913333333333332
53,6,6793.340891866795,118725.70111757949,5950.413223140496,5281.427903946841,250.43311691226563,398742.0,0.9911666666666666
54,7,-52.95990371999631,105005.08462503234,6148.760330578512,7518.896258248661,249.1967959516353,400033.0,0.991
55,8,975.4186929471538,94177.77030805107,6148.760330578512,5653.972679349902,248.139046187406,401322.0,0.9908333333333332
56,9,1801.9366032698813,84738.66999672816,5950.413223140496,5290.623691452282,247.13721302630356,402580.0,0.9906666666666668
57,10,75866.74781114294,107553.2251993964,47603.305785123965,5448.886823350833,249.4324512345692,403847.0,0.9905
58,11,43043.013954384696,107143.87858590033,37685.950413223145,5766.410154657679,249.39459433884213,405106.0,0.9903333333333332
59,12,4817.6064374595035,102691.45090654852,3689.256198347107,5580.7779184642,248.98231882988796,406392.0,0.9901666666666666
60,1,87490.42599859128,123154.26409551768,61487.603305785095,5540.009503837266,250.81462647273585,407692.0,0.99
61,2,168404.00805351714,197147.19709670398,89256.19834710752,5154.876705223566,256.2363322586876,409009.0,0.9898333333333332
62,3,47403.842687219025,166763.94060001534,71404.95867768592,6382.1405062219055,254.15495735553623,410249.0,0.9896666666666668
63,4,22598.894205679462,124572.42206000828,59504.132231404925,5286.2805142818515,250.9367972139911,411551.0,0.9895
64,5,7609.523409390819,120110.39018294912,5950.413223140496,6121.142063309492,250.55240439205284,412856.0,0.9893333333333332
65,6,57117.012192884475,124290.23312234273,47603.305785123965,5333.863468366892,250.91248734685928,414159.0,0.9891666666666666
66,7,14070.220881450174,120692.045954191,11900.826446280991,5767.581603320899,250.60251257358638,415482.0,0.9890000000000001
67,8,-900.8555937642526,106310.70550523633,6148.760330578512,7331.724524611931,249.31754143209437,416781.0,0.9888333333333332
68,9,48979.65286946053,126350.98369574637,23801.652892561982,5137.721786388466,251.08355981108446,418093.0,0.9886666666666668
69,10,20628.341844889623,107188.26372898939,33719.00826446282,6072.0535471838675,249.398699133357,419335.0,0.9885
70,11,73500.54861415889,113380.60050412119,59504.132231404925,7804.079607622368,249.97137431833173,420596.0,0.9883333333333332
