index,dates,observedInflow,storage,outflow,totalWaterSupply,elevation,population,shiftFactor,inflow,deficit
0,1,128258.62152425275,171859.63461178332,77355.37190082643,4357.70501164316,254.51449266999103,331461.0,1.0,0.0,0.0
1,2,18925.629268964858,130768.58735425936,55537.19008264461,4479.486443844483,251.4395597835651,331461.0,1.0,0.0,0.0
2,3,33266.38531917454,109518.6034871094,49586.77685950412,4929.592326820498,249.6142119196439,332780.0,1.0,0.0,0.0
3,4,1703.959277516752,102562.68997524967,3570.2479338842977,5089.6248554921585,248.96956517187496,334041.0,1.0,0.0,0.0
4,5,7218.468189991546,99219.31962400554,6148.760330578512,4413.078210657174,248.6384072527739,335322.0,1.0,0.0,0.0
5,6,1773.4374429207667,90450.77289525873,5950.413223140496,4591.570948527075,247.75115357859616,336577.0,1.0,0.0,0.0
6,7,8740.975987093754,88142.71407414766,6148.760330578512,4900.274477626306,247.50308190822741,337833.0,1.0,0.0,0.0
7,8,8969.71820797869,86475.17042653715,6148.760330578512,4488.501525010684,247.32385322727185,339164.0,1.0,0.0,0.0
8,9,276.40674918891136,76369.1913411058,5950.413223140496,4431.972611479773,246.16658997072173,340441.0,1.0,0.0,0.0
9,10,48.51480077060803,68133.85755912564,3689.256198347107,4594.592384403659,245.13830550980487,341784.0,1.0,0.0,0.0
10,11,131956.99892956304,135786.5473911386,59504.132231404925,4800.1768661454325,251.8439404779707,343067.0,1.0,0.0,0.0
11,12,21247.4735007122,108544.30892948258,43636.36363636363,4853.348326004661,249.5241079191235,344417.0,1.0,0.0,0.0
12,1,16491.255928690003,108207.43394419608,11900.826446280991,4927.304467695473,249.49295329179657,345714.0,1.0,0.0,0.0
13,2,61215.26606774227,108821.42960171806,55537.19008264461,5064.080327575805,249.54973639153962,346976.0,1.0,0.0,0.0
14,3,31629.093110943297,110040.09977916568,25785.12396694216,4625.298966553536,249.66244056035939,348279.0,1.0,0.0,0.0
15,4,18566.364938699,110157.95850031305,13884.297520661159,4564.208696890442,249.6733402848713,349574.0,1.0,0.0,0.0
16,5,1138.6258665255816,100497.03980762065,6148.760330578512,4650.784228639458,248.76496432325882,350892.0,1.0,0.0,0.0
17,6,36524.29838319846,126138.00353077051,5950.413223140496,4932.921436908111,251.0663964486075,352249.0,1.0,0.0,0.0
18,7,18797.509114323446,120827.71371655313,17851.239669421488,6256.559259119336,250.6142000100408,353552.0,1.0,0.0,0.0
19,8,42700.17229844901,120198.3386461902,35702.479338842975,7627.068029968964,250.5599809309261,354852.0,1.0,0.0,0.0
20,9,1227.923621550292,111018.86673736543,5950.413223140496,4456.982307234594,249.75295817417603,356152.0,1.0,0.0,0.0
21,10,7.71864525393639,102720.41476646617,3689.256198347107,4616.914417806071,248.98518767496688,357449.0,1.0,0.0,0.0
22,11,19476.809950183844,109435.0729543974,7933.884297520661,4828.2674647319345,249.6064869096826,358831.0,1.0,0.0,0.0
23,12,12443.97678836328,108388.48689864171,7933.884297520661,5556.678546598262,249.5096972994212,360141.0,1.0,0.0,0.0
24,1,36103.237821007744,109492.74307635012,29752.06611570249,5246.915527596891,249.61182031594842,361425.0,1.0,0.0,0.0
25,2,173043.12170024487,192464.28517251997,85289.25619834715,4782.323405728055,255.93001933373017,362707.0,1.0,0.0,0.0
26,3,51444.599668354414,166564.3377653795,71404.95867768592,5939.588397809132,254.14087403975014,364013.0,1.0,0.0,0.0
27,4,7127.447881388339,108563.93725848327,59504.132231404925,5623.716156879754,249.52592317196738,365299.0,1.0,0.0,0.0
28,5,-3678.413868415524,88371.13642445252,6148.760330578512,10365.626635036717,247.5276328917081,366606.0,1.0,0.0,0.0
29,6,1883.8701139744926,79561.47193652196,5950.413223140496,4743.121378764562,246.5421082150949,367920.0,1.0,0.0,0.0
30,7,1735.8668441230338,69631.20894964013,6148.760330578512,5517.369500426372,245.32990517589766,369218.0,1.0,0.0,0.0
31,8,10544.805528244397,68753.88076522226,6148.760330578512,5273.373382083742,245.21764309215897,370475.0,1.0,0.0,0.0
32,9,494.970339222908,58377.5180493234,5950.413223140496,4920.9198319812795,243.76329040969398,371809.0,1.0,0.0,0.0
33,10,61.78168939993915,49783.872235838164,3689.256198347107,4966.171304538065,242.38057399758947,373049.0,1.0,0.0,0.0
34,11,14725.733312890137,55216.48345606363,3570.2479338842977,5722.874158780362,243.2763031052324,374317.0,1.0,0.0,0.0
35,12,91575.68485918047,107239.86331716624,33719.00826446282,5833.2967336150905,249.40347112893426,375579.0,1.0,0.0,0.0
36,1,136033.00733290715,166470.29216832947,71404.95867768592,5397.6198040582,254.13423849349675,376915.0,1.0,0.0,0.0
37,2,60076.68088896659,164257.3385877602,57520.66115702478,4768.973312511347,253.97767905528235,378250.0,1.0,0.0,0.0
38,3,25747.629228361402,120967.63613780616,61487.603305785095,7549.728372530583,250.62625397465595,379534.0,1.0,0.0,0.0
39,4,20422.520632022493,108598.83005885004,27768.595041322318,5022.731669656311,249.52915010254787,380840.0,1.0,0.0,0.0
40,5,-1177.9479554598845,96161.6323094252,6148.760330578512,5110.489463386433,248.33554598944386,382180.0,1.0,0.0,0.0
41,6,-874.901947709937,84271.56585746883,5950.413223140496,5064.751281105949,247.0870083681716,383457.0,1.0,0.0,0.0
