observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population shiftFactor inflow deficit
185319.11302088265 0.0 0.0 0.0 60005.02302088266 119137.09943067371 61487.603305785095  4694.410284424072  4694.410284424072 250.46855784206355  9.351733242906216E8  7.733361487882E7  124159.0  331785.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
207892.71962282906 0.0 0.0 0.0 22573.606601946416 108599.20587445049 27768.59504132232  5342.905116847335  5342.905116847335 249.52918485845282  8.446726800041674E8  3.077039079740778E8  124159.0  331785.0 0.9991666666666666 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
222785.11084520974 0.0 0.0 0.0 14892.39122238067 109201.4708081091 9917.355371900827  4372.770916821213  4372.770916821213 249.5848830859252  9.378859021694883E8  5248725.70444415  124666.0  333108.0 0.9983333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
242582.1659192458 0.0 0.0 0.0 19797.05507403605 108443.40090231589 15867.768595041325  4687.356384787903  4687.356384787903 249.5147758163614  9.102274266434354E8  1.0075810261568731E8  125174.0  334416.0 0.9975 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
292312.3864407043 0.0 0.0 0.0 49730.220521458505 123966.61433780189 29752.066115702477  4454.940970270037  4454.940970270037 250.88460840263627  9.431983250202374E8  1.765902930252321E7  125681.0  335697.0 0.9966666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
324562.7890997454 0.0 0.0 0.0 32250.402659041087 121388.17643810793 29752.066115702477  5076.774443032583  5076.774443032583 250.66248246365507  9.154045557767737E8  1.7957203142440373E8  126189.0  337022.0 0.9958333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
327832.65013017773 0.0 0.0 0.0 3269.8610304323593 113658.10173219872 6148.760330578512  4851.17540576304  4851.17540576304 249.9965559727945  9.48438709087749E8  9.787988342316586E7  126696.0  338252.0 0.995 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
351667.8785765043 0.0 0.0 0.0 23835.228446326546 119810.35792649236 11900.826446280991  5782.145805751914  5782.145805751914 250.52655736789217  9.510111264697647E8  2.9610243985961056E8  127204.0  339505.0 0.9941666666666666 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
353398.1903913018 0.0 0.0 0.0 1730.3118147975417 110890.73828301925 5950.413223140496  4699.5182351301555  4699.5182351301555 249.74110869166924  9.229495302958356E8  9.065910966677535E7  127711.0  340822.0 0.9933333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
389508.10177214805 0.0 0.0 0.0 36109.91138084624 108196.60367275661 33719.00826446282  5085.037726646128  5085.037726646128 249.49195169451187  9.563893830875758E8  1.4036945822090763E8  128219.0  342124.0 0.9925 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
