folder,filename,infl.numbp,infl.fitp,infl.pop.fitp,infl.shif.fitp,outf.numbp,outf.fitp,outf.pop.fitp,outf.shif.fitp,supp.numbp,supp.fitp,supp.pop.fitp,supp.shif.fitp,strp.numbp,strp.fitp,strp.pop.fitp,strp.shif.fitp,strv.numbp,strv.fitp,strv.pop.fitp,strv.shif.fitp,elev.numbp,elev.fitp,elev.pop.fitp,elev.shif.fitp
0.7_shift,reservoir-shift_0.7-ts-0.txt,1,33181.97374045372,7.26703,85.25,1,28098.676956961113,4.84107,94.05,1,5825.962388106896,4.84107,94.05,1,85.6878318648025,4.84107,94.05,1,112589.52667875725,4.84107,94.05,1,-1.7638277209078965,4.84107,94.05
0.7_shift,reservoir-shift_0.7-ts-0.txt,2,28037.22932351216,12.91305,70.05000000000001,2,23731.860169200678,8.47698,81.25,2,7500.60390073108,6.45076,88.05000000000001,2,77.80247686499457,7.70304,83.75,2,102228.56447675962,7.70304,83.75,2,-2.8986968037081713,7.70304,83.75
0.7_shift,reservoir-shift_0.7-ts-0.txt,NA,NA,NA,NA,3,16357.022216394955,12.91305,70.05000000000001,3,9090.42135453503,9.89958,77.25000000000001,3,65.0757353155481,12.91305,70.05000000000001,3,85506.26241786586,12.91305,70.05000000000001,3,-4.895779588742948,12.91305,70.05000000000001
0.7_shift,reservoir-shift_0.7-ts-0.txt,NA,NA,NA,NA,NA,NA,NA,NA,4,11155.98750262069,12.91305,70.05000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.7_shift,reservoir-shift_0.7-ts-1.txt,1,32030.741261788262,5.40905,91.95,1,27783.906187482266,8.45978,81.30000000000001,1,5932.160854077237,4.96479,93.60000000000001,1,87.39112687855035,5.87648,90.2,1,114827.57116207124,5.87648,90.2,1,-1.5786781247056412,5.87648,90.2
0.7_shift,reservoir-shift_0.7-ts-1.txt,2,37576.277880633315,8.44217,81.35,2,12897.753724618215,12.91648,70.05000000000001,2,7782.953177686449,7.16311,85.60000000000001,2,82.00704918012916,8.45978,81.30000000000001,2,107753.1622702307,8.45978,81.30000000000001,2,-2.3046615403223756,8.4778,81.25
0.7_shift,reservoir-shift_0.7-ts-1.txt,3,23471.16051430972,12.91648,70.05000000000001,NA,NA,NA,NA,3,9107.409644875852,9.51109,78.35000000000001,3,55.206968214909736,12.91648,70.05000000000001,3,72539.19588598021,12.91648,70.05000000000001,3,-6.605114314002067,12.91648,70.05000000000001
0.7_shift,reservoir-shift_0.7-ts-1.txt,NA,NA,NA,NA,NA,NA,NA,NA,4,11063.239000238453,12.91648,70.05000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.7_shift,reservoir-shift_0.7-ts-2.txt,1,36579.54824037233,6.86362,86.65,1,31917.034687480238,4.95136,93.65,1,5797.186270696964,4.91077,93.80000000000001,1,92.29264132886917,4.96453,93.60000000000001,1,121267.91607406763,4.96453,93.60000000000001,1,-1.3347028731163,6.84898,86.7
0.7_shift,reservoir-shift_0.7-ts-2.txt,2,26043.41418409937,8.8984,80.10000000000001,2,27970.260291207815,6.89345,86.55000000000001,2,7737.057639098296,7.29941,85.15,2,86.65234816539186,6.84898,86.7,2,113856.85287191664,6.84898,86.7,2,-3.9746508852682094,9.96598,77.10000000000001
0.7_shift,reservoir-shift_0.7-ts-2.txt,3,32443.839084598083,12.93562,70.05000000000001,3,17004.692535705795,8.93374,80,3,9545.538576341414,10.33796,76.05000000000001,3,70.92052324680883,9.96598,77.10000000000001,3,93186.02152014445,9.96598,77.10000000000001,3,-4.843008443168109,12.93562,70.05000000000001
0.7_shift,reservoir-shift_0.7-ts-2.txt,NA,NA,NA,NA,4,21554.699182539025,12.93562,70.05000000000001,4,11430.723167284792,12.93562,70.05000000000001,4,66.1246677152078,12.93562,70.05000000000001,4,86884.5071443967,12.93562,70.05000000000001,NA,NA,NA,NA
0.7_shift,reservoir-shift_0.7-ts-3.txt,1,35905.06338090762,5.92482,90,1,29383.20470834009,5.93838,89.95,1,6063.401367160182,5.1881,92.75,1,85.55771529472379,5.20133,92.7,1,112418.56001150233,5.20133,92.7,1,-1.8340765441780724,5.20133,92.7
0.7_shift,reservoir-shift_0.7-ts-3.txt,2,32393.152546283647,8.56151,81,2,23588.55046396397,8.57917,80.95000000000002,2,7792.55315697365,6.82604,86.75,2,77.86458362325342,8.7025,80.60000000000001,2,102310.16965177385,8.7025,80.60000000000001,2,-2.9751911269210245,9.0771,79.55000000000001
0.7_shift,reservoir-shift_0.7-ts-3.txt,3,26336.841445836948,12.91054,70.05000000000001,3,16049.558963567368,12.91054,70.05000000000001,3,9454.510802687957,9.91273,77.2,3,62.84703311336705,12.91054,70.05000000000001,3,82577.85915930764,12.91054,70.05000000000001,3,-5.498837086298497,12.91054,70.05000000000001
0.7_shift,reservoir-shift_0.7-ts-3.txt,NA,NA,NA,NA,NA,NA,NA,NA,4,10561.698918448203,12.91054,70.05000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.7_shift,reservoir-shift_0.7-ts-4.txt,1,28791.505119809655,5.40292,91.95,1,22657.635818460592,5.40292,91.95,1,6434.86865250275,5.91186,90.05000000000001,1,79.11852114616597,5.04146,93.30000000000001,1,103957.78086000479,5.04146,93.30000000000001,1,-2.682691749842331,5.04146,93.30000000000001
0.7_shift,reservoir-shift_0.7-ts-4.txt,2,36113.19481554527,7.20062,85.45,2,27950.01409837835,7.30155,85.1,2,8453.52823888063,7.63861,83.95,2,84.2981946822048,7.22971,85.35000000000001,2,110763.61290268297,7.22971,85.35000000000001,2,-1.9419077196373207,7.30155,85.1
0.7_shift,reservoir-shift_0.7-ts-4.txt,3,30491.39239223652,12.91588,70.05000000000001,3,19857.928370542533,12.91588,70.05000000000001,3,10050.12789955446,10.21541,76.35000000000001,3,69.84714544100521,10.26908,76.2,3,91775.65675220879,10.26908,76.2,3,-4.209681837243067,10.3038,76.1
0.7_shift,reservoir-shift_0.7-ts-4.txt,NA,NA,NA,NA,NA,NA,NA,NA,4,11631.00958023441,12.91588,70.05000000000001,4,74.58023115805176,12.91588,70.05000000000001,4,97994.69473012154,12.91588,70.05000000000001,4,-3.299638654616523,12.91588,70.05000000000001
0.7_shift,reservoir-shift_0.7-ts-5.txt,1,39035.07394385874,6.20768,88.95,1,32259.17907938653,6.22101,88.9,1,6002.624574625857,4.84296,94.05,1,87.41463057125516,7.2977,85.15,1,114858.45383910072,7.2977,85.15,1,-1.6303327175361795,7.2977,85.15
0.7_shift,reservoir-shift_0.7-ts-5.txt,2,31081.988672038595,8.18863,82.10000000000001,2,22576.619387636823,8.18863,82.10000000000001,2,7799.502017887715,7.32717,85.05,2,76.70885591039043,10.33239,76.05000000000001,2,100791.6012234575,10.33239,76.05000000000001,2,-2.580820957350872,9.31861,78.9
0.7_shift,reservoir-shift_0.7-ts-5.txt,3,37283.70426328713,10.33239,76.05000000000001,3,27417.26217622665,10.33239,76.05000000000001,3,9413.928748902894,9.56868,78.2,3,59.999515828494076,12.93005,70.05000000000001,3,78836.3638228496,12.93005,70.05000000000001,3,-5.571432083433939,12.93005,70.05000000000001
0.7_shift,reservoir-shift_0.7-ts-5.txt,4,29021.368387236136,12.93005,70.05000000000001,4,18563.202948639322,12.93005,70.05000000000001,4,10422.45872263984,12.93005,70.05000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
