para.numbp,para.fitp,para.pop.fitp,para.shif.fitp
1,-2.6053070361912196,8.66628,0.5496666666666667
2,-9.373021744668936,12.91892,0.3011666666666667
1,-0.5587802592109596,4.83888,0.8611666666666666
2,-2.604715380218449,7.64445,0.6255
3,-4.607746582893537,10.18519,0.4505
4,-9.149910485175965,12.91474,0.3011666666666667
1,-1.6669923848783168,4.84086,0.8611666666666666
2,-2.771075910721735,7.09238,0.6698333333333333
3,-4.338567303086884,8.97703,0.5298333333333334
4,-6.140959783896075,12.92083,0.3011666666666667
1,-2.1222305004245268,5.13392,0.8355
2,-4.069509191317548,9.5456,0.49250000000000005
3,-7.52680995925972,12.91903,0.3011666666666667
1,-1.8214247259050658,5.80381,0.7771666666666667
2,-3.558851564636318,8.01668,0.5951666666666666
3,-5.013421583868077,10.21022,0.4481666666666667
4,-10.93601831808774,12.91031,0.3011666666666667
1,-1.5291549867345475,4.8319,0.8611666666666666
2,-2.5228556678290888,6.96984,0.6791666666666667
3,-4.577043856526053,9.59733,0.4890000000000001
4,-8.098822114638267,12.92358,0.3011666666666667
1,-1.643870405690838,5.81423,0.776
2,-4.22063231063485,7.50274,0.6360000000000001
3,-5.4993520445152715,10.3108,0.4411666666666667
4,-8.81693454506314,12.91215,0.3011666666666667
1,-1.7644984971725604,5.73295,0.7841666666666667
2,-3.830496577053855,7.69602,0.6220000000000001
3,-5.375595099699982,10.33728,0.4411666666666667
4,-6.488858890610229,12.93494,0.3011666666666667
1,-1.5165452413527094,6.00454,0.7608333333333334
2,-4.515213613661998,9.61093,0.4890000000000001
3,-13.831070104489536,12.92835,0.3011666666666667
1,-1.416859136702348,5.94822,0.7643333333333333
2,-4.567410168797684,10.32771,0.4411666666666667
3,-13.989765588372382,12.91697,0.3011666666666667
