index,dates,shiftFactor,population,storage_asis,observedInflow,observedInflow_fitted,storage,storage_fitted,outflow,outflow_fitted,waterSupply,waterSupply_fitted,elevation,elevation_fitted
1,1,1,3.30833,52.7231815654069,13366.5781864767,33269.9174405033,20.6138149377881,50.9885706594205,16096.9630868782,28592.4856741691,4424.05068702316,5793.50515116833,-3.53598616991821,-2.09531772520085
2,2,0.999,3.30833,49.5895533655512,14631.7942004681,33269.9174405037,20.5238817705609,50.9885706594207,16387.5920869435,28592.485674169,4484.59337434671,5793.50515116832,-3.51634540682001,-2.09531772520085
3,3,0.998,3.32092,132.690781183284,15897.0102144596,33269.9174405037,20.4339486033337,50.9885706594207,16678.2210870088,28592.485674169,4545.13606167026,5793.50515116832,-3.49670464372182,-2.09531772520085
4,4,0.997,3.33409,52.5781864632153,17123.1683371444,33269.9174405037,20.3466104565263,50.9885706594207,16934.1905273549,28592.485674169,4613.93052208012,5793.50515116832,-3.47880048028814,-2.09531772520085
5,5,0.996,3.34659,32.7645880218698,18349.3264598293,33269.9174405037,20.259272309719,50.9885706594207,17190.159967701,28592.485674169,4682.72498248997,5793.50515116832,-3.46089631685445,-2.09531772520085
6,6,0.995,3.35973,6.17761024904564,19587.1810831952,33269.9174405037,20.2647977983022,50.9885706594207,17487.5845256256,28592.485674169,4748.70303415312,5793.50515116832,-3.44256878472767,-2.09531772520085
7,7,0.994,3.37287,-14.0230413788648,20825.0357065612,33269.9174405037,20.2703232868854,50.9885706594207,17785.0090835502,28592.485674169,4814.68108581626,5793.50515116832,-3.42424125260089,-2.09531772520085
8,8,0.993,3.38585,-27.411368629498,21789.455047823,33269.9174405037,20.0455737971119,50.9885706594207,18061.9704186323,28592.485674169,4869.49594804346,5793.50515116832,-3.41706272283092,-2.09531772520085
9,9,0.992,3.39899,-53.8131591009628,22753.8743890847,33269.9174405037,19.8208243073384,50.9885706594207,18338.9317537144,28592.485674169,4924.31081027065,5793.50515116832,-3.40988419306095,-2.09531772520085
10,10,0.991,3.41199,-12.9181047233069,22513.2212588293,33269.9174405037,18.7200092001,50.9885706594207,17949.401610377,28592.485674169,4983.63129625893,5793.50515116832,-3.44124016269627,-2.09531772520085
11,11,0.99,3.42478,2.00699089826883,22272.5681285739,33269.9174405037,17.6191940928616,50.9885706594207,17559.8714670396,28592.485674169,5042.95178224722,5793.50515116832,-3.4725961323316,-2.09531772520085
12,12,0.989,3.43691,13.8914960716863,22837.3456523158,33269.9174405037,19.6677485434752,50.9885706594207,17263.8084331235,28592.485674169,5048.96930623726,5793.50515116832,-3.38304301584013,-2.09531772520085
13,1,0.988,3.4496,89.0914682284855,23402.1231760576,33269.9174405037,21.7163029940888,50.9885706594207,16967.7453992074,28592.485674169,5054.98683022729,5793.50515116832,-3.29348989934867,-2.09531772520085
14,2,0.987,3.46264,70.1794755404057,24214.6830812415,33269.9174405037,27.3974619181234,50.9885706594207,17069.2394551045,28592.485674169,5037.57675776781,5793.50515116832,-3.03468562402028,-2.09531772520085
15,3,0.986,3.47554,48.4893590452073,25027.2429864253,33269.9174405037,33.078620842158,50.9885706594207,17170.7335110017,28592.485674169,5020.16668530832,5793.50515116832,-2.7758813486919,-2.09531772520085
16,4,0.985,3.48824,51.1478245361538,26206.6477827376,33269.9174405037,40.4476278255022,50.9885706594207,18037.6929139806,28592.485674169,5014.50582596274,5793.50515116832,-2.43882854563686,-2.09531772520085
17,5,0.984,3.50101,33.6443595724035,27386.0525790499,33269.9174405037,47.8166348088464,50.9885706594207,18904.6523169594,28592.485674169,5008.84496661716,5793.50515116832,-2.10177574258183,-2.09531772520085
18,6,0.983,3.5145,17.7921215215866,29366.8324623331,33269.9174405037,56.1671464982842,50.9885706594207,20747.6405556789,28592.485674169,5014.50948736591,5793.50515116832,-1.74941491000736,-2.09531772520085
