para.numbp,para.fitp,para.pop.fitp,para.shif.fitp
1,33419.192905735814,6.20275,1
2,19625.105413303474,7.97513,1
3,26321.870782320206,10.21165,1
4,31168.429309497526,12.93517,1
1,29082.03313149158,8.458,1
2,25080.796977137183,12.92334,1
1,36890.54265196376,5.7129,1
2,23553.624512374256,8.18489,1
3,30118.12587123218,10.31804,1
4,20043.54289142048,12.91794,1
1,32866.22205391118,6.54849,1
2,25974.06980232788,9.17125,1
3,30744.01824474136,12.92581,1
1,26733.566688497714,6.89923,1
2,33169.07731656953,9.17475,1
3,24273.28488941233,12.92172,1
1,25535.41788852567,7.67898,1
2,30751.987766094022,10.15624,1
3,26203.063528707065,12.93013,1
1,29571.329845149085,4.84154,1
2,25257.71704968655,6.52051,1
3,33281.89214801516,8.28035,1
4,24734.84139422744,12.9245,1
1,34407.03597790012,5.78614,1
2,25264.387466373075,7.72381,1
3,36214.372369158235,9.7492,1
4,24658.566216737596,12.91171,1
1,25366.652186611584,5.77237,1
2,33686.12239336802,9.2616,1
3,25311.01093680511,12.92826,1
1,29510.17697928621,8.0671,1
2,24166.260033533574,12.9256,1
