observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population inflow deficit
18079.498770000002 38614.19396 1660.1643900000001 233.6 50173.85712 52292.48570198451 3689.2561983471073  2372.115219668387  2372.115219668387 242.80757203438034  4.805493317920198E8  3.1076831006768927E7  63826.0  170532.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
65841.45637000001 83472.35148000001 1721.6519600000001 245.3 132955.96104000002 127514.57187573676 55537.19008264461  2196.684783603403  2196.684783603403 251.17732950888362  4.3404455774762917E8  3.9744150909960866E7  63826.0  170532.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
102733.99837000004 154395.28827 2029.08981 249.5 193316.92008 207372.12417032974 111074.38016528926  2384.987620118023  2384.987620118023 256.89947040471685  4.815598861428444E8  3.284264130913235E7  64026.0  171025.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
88750.53487 152866.03290000002 1904.1312 248.1 140786.70059999998 216972.36932837768 128925.61983471068  2260.8356072416123  2260.8356072416123 257.50092099441883  4.670591373711601E8  2.056584680364037E7  64227.0  171546.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
90656.64954000001 88234.66295 2029.08981 248.3 92169.86743000001 123446.5001610491 182479.3388429752  3216.3977543533883  3216.3977543533883 250.83980187465966  4.8365380776775277E8  2.1007018483246392E8  64427.0  172046.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
75780.62454 33857.8329 2261.1558 246.6 21242.9637 123706.41789584614 17851.239669421488  3131.8062957814695  3131.8062957814695 250.86219313368764  4.690540118583574E8  2.0642499710962477E8  64627.0  172551.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
74181.94772000001 3689.2542 2275.04009 246.4 4365.61747 119543.97601526366 6148.760330578512  2379.299020003957  2379.299020003957 250.50360923632525  4.856796397419866E8  2.7495950407376528E7  64828.0  173034.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
71783.93249 3689.2542 2336.5276599999997 246.1 3627.76663 113600.51528901265 6148.760330578512  3422.467025672496  3422.467025672496 249.99159504557312  4.867223094917991E8  2.5144742911605728E8  65028.0  173544.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
63631.87079 3867.7665000000006 2201.6517 245.0 -2082.6435 98225.33002358895 5950.413223140496  7342.128542283201  7342.128542283201 248.53995344924613  4.720359678535918E8  1.1115401677893488E9  65228.0  174054.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
63631.87079 3935.2044800000003 2090.5773799999997 244.91 6025.78186 98140.78362423777 3689.2561983471073  2421.072061004068  2421.072061004068 248.53157920208378  4.888271148886115E8  3.3358231826653603E7  65429.0  174570.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
